price,house_type,acreage,width,length,bedrooms,bathrooms,floors,legal_status,street,ward,district,city
5.9,"nha ngo, hem",56.0,4.0,14.0,5,5,3,da co so,duong so 2,phuong binh hung hoa b,quan binh tan,tp ho chi minh
3.1,"nha ngo, hem",18.0,3.0,6.0,3,2,3,da co so,duong tinh lo 10,phuong an lac,quan binh tan,tp ho chi minh
1.98,"nha ngo, hem",30.0,3.0,10.0,2,2,1,da co so,duong ten lua,phuong binh tri dong b,quan binh tan,tp ho chi minh
15.9,"nha mat pho, mat tien",104.0,4.0,26.0,5,6,5,da co so,duong an duong vuong,phuong an lac,quan binh tan,tp ho chi minh
6.39,"nha mat pho, mat tien",66.0,4.0,16.5,4,4,3,da co so,duong so 20,phuong binh hung hoa a,quan binh tan,tp ho chi minh
3.0,"nha ngo, hem",32.0,4.0,8.0,2,2,2,da co so,duong 26 thang 3,phuong binh hung hoa,quan binh tan,tp ho chi minh
5.25,"nha ngo, hem",72.0,4.0,18.0,3,2,1,da co so,duong huong lo 2,phuong binh tri dong a,quan binh tan,tp ho chi minh
3.8,"nha ngo, hem",33.0,3.0,11.0,2,2,2,da co so,duong le van quoi,phuong binh hung hoa a,quan binh tan,tp ho chi minh
6.5,"nha ngo, hem",60.0,4.0,15.0,4,3,4,da co so,duong binh tri dong,phuong binh tri dong,quan binh tan,tp ho chi minh
3.75,"nha ngo, hem",48.0,4.0,12.0,2,2,2,da co so,duong ma lo,phuong binh tri dong a,quan binh tan,tp ho chi minh
5.2,"nha ngo, hem",56.0,4.0,14.0,5,4,4,da co so,duong ma lo,phuong binh tri dong a,quan binh tan,tp ho chi minh
6.3,"nha ngo, hem",68.0,4.0,17.0,4,4,3,da co so,duong so 22,phuong binh hung hoa a,quan binh tan,tp ho chi minh
12.9,"nha mat pho, mat tien",178.5,5.95,30.0,3,2,1,da co so,duong ap chien luoc,phuong binh hung hoa a,quan binh tan,tp ho chi minh
5.8,"nha ngo, hem",70.0,5.0,14.0,4,5,3,da co so,duong binh thanh,phuong binh hung hoa b,quan binh tan,tp ho chi minh
3.35,"nha ngo, hem",40.42,4.3,9.4,3,2,3,da co so,duong huong lo 2,phuong binh tri dong a,quan binh tan,tp ho chi minh
